iter	Passed	Remaining
455	894	1066
456	895	1063
457	898	1062
458	899	1060
459	901	1058
460	903	1056
461	904	1053
462	905	1050
463	907	1047
464	908	1045
465	909	1042
466	910	1039
467	913	1038
468	915	1036
469	916	1033
470	918	1031
471	919	1028
472	921	1026
473	922	1023
474	923	1020
475	924	1018
476	927	1016
477	928	1014
478	929	1011
479	931	1009
480	933	1006
481	934	1004
482	935	1001
483	937	999
484	938	996
485	939	993
486	942	993
487	945	991
488	946	989
489	947	986
490	948	983
491	950	981
492	951	978
493	952	976
494	954	973
495	956	971
496	958	969
497	960	968
498	962	966
499	963	963
500	965	961
501	966	958
502	967	956
503	969	953
504	972	952
505	973	950
506	974	947
507	976	945
508	977	943
509	979	940
510	980	938
511	981	935
512	982	933
513	984	931
514	986	929
515	988	927
516	989	924
517	990	922
518	991	919
519	992	916
520	994	913
521	995	911
522	996	909
523	998	906
524	1000	905
525	1002	903
526	1003	900
527	1005	898
528	1006	896
529	1008	893
530	1009	891
531	1010	889
532	1012	886
533	1013	884
534	1016	883
535	1018	881
536	1019	879
537	1020	876
538	1022	874
539	1023	871
540	1024	869
541	1026	867
542	1027	865
543	1032	865
544	1033	862
545	1034	860
546	1036	858
547	1037	856
548	1039	853
549	1040	851
550	1041	848
551	1043	846
552	1045	845
553	1047	843
554	1048	840
555	1050	838
556	1051	836
557	1053	834
558	1054	831
559	1055	829
560	1056	826
561	1058	824
562	1062	824
563	1063	822
564	1064	819
565	1066	817
566	1067	815
567	1068	812
568	1069	810
569	1070	807
570	1072	805
571	1074	804
572	1076	801
573	1077	799
574	1078	797
575	1080	795
576	1082	793
577	1083	791
578	1084	788
579	1085	786
580	1086	783
581	1089	782
582	1090	779
583	1091	777
584	1093	775
585	1094	773
586	1096	771
587	1097	768
588	1098	766
589	1099	764
590	1100	761
591	1103	760
592	1104	758
593	1107	756
594	1108	754
595	1109	752
596	1110	749
597	1111	747
598	1113	745
599	1114	742
600	1115	740
601	1117	738
602	1118	736
603	1120	734
604	1121	732
605	1123	730
606	1124	728
607	1126	726
608	1127	723
609	1128	721
610	1129	719
611	1130	716
612	1136	717
613	1138	715
614	1139	713
615	1141	711
616	1142	709
617	1143	706
618	1144	704
619	1149	704
620	1151	702
621	1152	700
622	1155	699
623	1156	697
624	1158	694
625	1159	692
626	1160	690
627	1163	688
628	1164	686
629	1165	684
630	1167	682
631	1168	680
632	1170	678
633	1171	676
634	1172	674
635	1174	672
636	1175	669
637	1178	668
638	1180	666
639	1181	664
640	1183	662
641	1184	660
642	1185	658
643	1186	655
644	1187	653
645	1188	651
646	1190	649
647	1193	648
648	1195	646
649	1197	644
650	1198	642
651	1200	640
652	1201	638
653	1202	636
654	1203	634
655	1206	632
656	1208	630
657	1209	628
658	1211	626
659	1212	624
660	1213	622
661	1214	620
662	1216	618
663	1217	615
664	1218	613
665	1221	612
666	1224	611
667	1225	609
668	1227	607
669	1228	605
670	1229	603
671	1231	600
672	1232	598
673	1233	596
674	1236	595
675	1237	593
676	1238	591
677	1240	589
678	1242	587
679	1243	585
680	1244	583
681	1245	580
682	1246	578
683	1247	576
684	1250	575
685	1253	573
686	1254	571
687	1255	569
688	1257	567
689	1258	565
690	1260	563
691	1261	561
692	1262	559
693	1266	558
694	1267	556
695	1269	554
696	1272	553
697	1273	551
698	1275	549
699	1276	547
700	1278	545
701	1280	543
702	1281	541
703	1283	539
704	1284	537
705	1286	535
706	1288	533
707	1289	531
708	1291	529
709	1292	527
710	1295	526
711	1298	525
712	1300	523
713	1301	521
714	1303	519
715	1304	517
716	1305	515
717	1307	513
718	1310	512
719	1312	510
720	1314	508
721	1316	506
722	1317	504
723	1318	502
724	1319	500
725	1320	498
726	1322	496
727	1324	494
728	1326	493
729	1328	491
730	1329	489
731	1331	487
732	1332	485
733	1333	483
734	1334	481
735	1335	479
736	1336	477
737	1344	477
738	1345	475
739	1346	473
740	1347	471
741	1348	469
742	1350	467
743	1351	465
744	1352	462
745	1355	461
746	1357	459
747	1358	457
748	1360	455
749	1361	453
750	1362	451
751	1364	449
752	1365	447
753	1366	445
754	1371	444
755	1372	443
756	1374	441
757	1376	439
758	1377	437
759	1379	435
760	1380	433
761	1381	431
762	1384	430
763	1387	428
764	1388	426
765	1390	424
766	1391	422
767	1393	420
768	1394	418
769	1395	416
770	1396	414
771	1399	413
772	1401	411
773	1402	409
774	1404	407
775	1405	405
776	1407	403
777	1408	401
778	1409	399
779	1410	397
780	1412	396
781	1414	394
782	1416	392
783	1417	390
784	1419	388
785	1420	386
786	1422	384
787	1423	382
788	1424	381
789	1426	379
790	1428	377
791	1430	375
792	1432	373
793	1433	372
794	1435	370
795	1436	368
796	1438	366
797	1439	364
798	1442	362
799	1443	360
800	1445	359
801	1447	357
802	1448	355
803	1450	353
804	1451	351
805	1452	349
806	1454	347
807	1456	346
808	1458	344
809	1461	342
810	1462	340
811	1463	338
812	1465	336
813	1466	335
814	1467	333
815	1468	331
816	1469	329
817	1472	327
818	1474	325
819	1476	324
820	1477	322
821	1479	320
822	1480	318
823	1482	316
824	1483	314
825	1484	312
826	1487	311
827	1489	309
828	1491	307
829	1493	305
830	1494	303
831	1495	302
832	1497	300
833	1498	298
834	1500	296
835	1504	295
836	1506	293
837	1508	291
838	1509	289
839	1511	287
840	1512	285
841	1513	284
842	1517	282
843	1518	280
844	1520	278
845	1522	277
846	1523	275
847	1524	273
848	1526	271
849	1527	269
850	1528	267
851	1533	266
852	1535	264
853	1537	262
854	1539	261
855	1540	259
856	1541	257
857	1543	255
858	1547	253
859	1549	252
860	1551	250
861	1554	248
862	1556	247
863	1557	245
864	1561	243
865	1563	241
866	1565	240
867	1567	238
868	1568	236
869	1570	234
870	1571	232
871	1573	230
872	1576	229
873	1580	227
874	1581	225
875	1583	224
876	1584	222
877	1585	220
878	1587	218
879	1588	216
880	1590	214
881	1592	213
882	1594	211
883	1596	209
884	1598	207
885	1600	205
886	1601	204
887	1602	202
888	1605	200
889	1608	198
890	1610	197
891	1611	195
892	1613	193
893	1614	191
894	1615	189
895	1618	187
896	1621	186
897	1625	184
898	1627	182
899	1629	181
900	1630	179
901	1632	177
902	1634	175
903	1636	173
904	1638	171
905	1639	170
906	1641	168
907	1642	166
908	1643	164
909	1644	162
910	1645	160
911	1647	158
912	1652	157
913	1654	155
914	1655	153
915	1657	151
916	1658	150
917	1659	148
918	1660	146
919	1663	144
920	1667	143
921	1669	141
922	1671	139
923	1672	137
924	1675	135
925	1677	134
926	1679	132
927	1680	130
928	1682	128
929	1683	126
930	1685	124
931	1686	123
932	1688	121
933	1689	119
934	1690	117
935	1693	115
936	1696	114
937	1698	112
938	1699	110
939	1700	108
940	1701	106
941	1703	104
942	1704	103
943	1705	101
944	1706	99
945	1708	97
946	1710	95
947	1712	93
948	1713	92
949	1715	90
950	1716	88
951	1717	86
952	1719	84
953	1720	82
954	1722	81
955	1724	79
956	1728	77
957	1730	75
958	1731	74
959	1733	72
960	1734	70
961	1739	68
962	1741	66
963	1742	65
964	1744	63
965	1746	61
966	1747	59
967	1748	57
968	1749	55
969	1753	54
970	1755	52
971	1757	50
972	1758	48
973	1760	46
974	1761	45
975	1762	43
976	1763	41
977	1764	39
978	1767	37
979	1770	36
980	1771	34
981	1772	32
982	1774	30
983	1775	28
984	1776	27
985	1778	25
986	1779	23
987	1782	21
988	1786	19
989	1787	18
990	1789	16
991	1790	14
992	1791	12
993	1793	10
994	1794	9
995	1796	7
996	1798	5
997	1800	3
998	1802	1
999	1803	0
